Pattern, Target, Solution size, Nodes, Cut branches, Conflicts, Elapsed time, Best time
./data/si/si4_bvg_b06m_400/si4_b06m_m400.02/pattern, ./data/si/si4_bvg_b06m_400/si4_b06m_m400.02/target, 160, 763, 603, 433, 11, 8
./data/si/si4_m4D_m4Dr2_256/si4_m4Dr2_m256.01/pattern, ./data/si/si4_m4D_m4Dr2_256/si4_m4Dr2_m256.01/target, 102, 494, 392, 275, 5, 3
./data/si/si4_bvg_b09_800/si4_b09_m800.09/pattern, ./data/si/si4_bvg_b09_800/si4_b09_m800.09/target, 320, 1457, 1137, 16, 43, 31
./data/si/si4_bvg_b06_400/si4_b06_m400.08/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.08/target, 160, 726, 566, 5, 11, 7
./data/si/si4_bvg_b09_400/si4_b09_m400.08/pattern, ./data/si/si4_bvg_b09_400/si4_b09_m400.08/target, 160, 734, 574, 13, 11, 7
./data/si/si4_bvg_b03_800/si4_b03_m800.03/pattern, ./data/si/si4_bvg_b03_800/si4_b03_m800.03/target, 320, 1443, 1123, 0, 42, 30
./data/si/si2_bvg_b09_400/si2_b09_m400.08/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.08/target, 80, 571, 491, 10, 9, 6
./data/si/si4_bvg_b06_800/si4_b06_m800.05/pattern, ./data/si/si4_bvg_b06_800/si4_b06_m800.05/target, 320, 1446, 1126, 5, 42, 31
./data/si/si2_bvg_b09_800/si2_b09_m800.09/pattern, ./data/si/si2_bvg_b09_800/si2_b09_m800.09/target, 160, 1132, 972, 11, 35, 24
./data/si/si2_m4D_m4D_256/si2_m4D_m256.05/pattern, ./data/si/si2_m4D_m4D_256/si2_m4D_m256.05/target, 51, 1669, 999, 309, 7, 5
./data/si/si2_bvg_b06_800/si2_b06_m800.01/pattern, ./data/si/si2_bvg_b06_800/si2_b06_m800.01/target, 160, 1126, 966, 5, 35, 24
./data/si/si2_bvg_b09_200/si2_b09_m200.01/pattern, ./data/si/si2_bvg_b09_200/si2_b09_m200.01/target, 40, 291, 251, 10, 2, 1
